keyword,tweet,username,creation date
Climate change,"@teodulo_garcia @DeanObeidallah @realDonaldTrump Raising our taxes, holding children in cages, taking money from the military for the wall! Denying climate change. Cronyism with third world dictators and murderers. Withdrawal of troops from countries we vowed to protect. Holding Aide from countries until they falsely find dirt!",Tammy Eckel,2019-10-07 08:42:22
Climate change,"@DPJHodges Greta Thunberg makes a brave effort to highlight Climate Change &amp; save our planet RWM: ""she's a spoilt brat &amp; bullys adults""  Boris Johnson lies makes racist comments &amp; behaves like a fascist RWM: "" Its ok he's just a harmless man of the people just trying to get Brexit done""",Martin Purvis,2019-10-07 08:42:18
Climate change,"tw: anti-semitism 

I put a warning just in case bc i dont wanna upset anyone 🥺

but i am SICK of fucking boomers and middle aged people shitting all over the climate change movement, this - this seriously is disgusting. have an opinion, but dont take it here. https://t.co/XMS2XS1Ewx",chloe 💫 supergirl spoilers!!,2019-10-07 08:42:15
Climate change,Canavan wearing a green shirt is no co-incidence. This is in support of a climate change denialism/pro- mining/pro-big agriculture group Astroturfing for the Nats #auspol #abc730,💧🌏 Denise Shrivell,2019-10-07 08:42:14
Climate change,"Morning #Halifax! This is our top story today on Global News Morning. 
@AshleyJVField will be live from the bridge with updates throughout the morning. https://t.co/aYw6JKsW8I",Global Halifax,2019-10-07 08:42:11
Climate change,https://t.co/Naj9CBShSC #BibleStudy Hosea 4:6 https://t.co/TqLTLsNtMT,Yuri Obst,2019-10-07 08:42:02
Climate change,"So #ExtinctionRebelion will decide if you get to see a dying relative for the first time, see your child being born, even get treatment. 

Absolute lunatics who are only being detrimental to any climate change activism by giving people an excuse to hate them. https://t.co/XnTlMIt2go",Cllr G McGinnigle,2019-10-07 08:41:59
Climate change,Climate change poses risk to Namibia’s food security: minister https://t.co/egqWEdQMH5 https://t.co/Csqk2Smwcv,247News.Africa,2019-10-07 08:41:55
Climate change,Climate change protests: four teenage girls among 30 arrested in Sydney https://t.co/cKQDLagqdT,ΕηνιгоNмεпτ,2019-10-07 08:41:53
Global warming,@LeefromLeeds Hope so all up for climate change n that but we don’t need to go all Maos  Cultural Revolution 😂,Cameron Simpson,2019-10-07 08:41:49
Climate change,"@DubaiNameShame @alanwhite1888 It’s emergency case climate change is secondary compared to poverty that is happening now people need to think worldwide- children in poor countries don’t have food or water - we don’t see it as daily news ,",Fatiha Betscher,2019-10-07 08:41:45
Climate change,It’s awful bc this is a woman I’ve trusted to never be wrong about anything but now she’s spouting the most rightwing meninist homophobic transphobic climate change denying pro-Tr*mp spiel full of false facts with a condescending sneer.,Mayu @ ShamhatIRL,2019-10-07 08:41:43
Climate change,"@JamesOBonkers I hope it is cold, wet and windy.  That tends to limitthe number of protestors while undermining their theory of climate change",Fren,2019-10-07 08:41:31
Climate change,"@chefshan1 
Hi shefshan!
Thanks for sharing photos which are on Instagram and unique! I suppose that you are interested in issues as climate change!? We should not abandon our planet for anything else or in the world because our planet is world",Dusanka sivcevic,2019-10-07 08:41:28
Climate change,"It's sad that elderly are fighting for our climate change but what's even worse is the police could only catch our seniors lol 🤣🤣

ABC News: Elderly protesters arrested at Sydney climate change rally.
https://t.co/L1mHaXtGYi

via @GoogleNews",Darlean,2019-10-07 08:41:25
Global warming,"@NisansaDdS @CalmUrHormones I dont think that's a fair comparison given that with climate change there are manyyyyyy ways you can help (other than just plastic usage)

But I will agree that their message would have been stronger if they had allowed themselves to get wet instead of putting on one use plastic",Ruchini,2019-10-07 08:41:20
